2026-04-01 14:25:27 | INFO     | realistic_backtest:run_realistic_backtest | Applying Volatility Targeting...
2026-04-01 14:25:27 | INFO     | realistic_backtest:run_realistic_backtest | Applying Hard Stop-Loss mechanism at 8.0%...
2026-04-01 14:25:27 | INFO     | realistic_backtest:run_realistic_backtest | Applying Micro-Execution Slippage Model...
2026-04-01 14:25:27 | INFO     | realistic_backtest:run_realistic_backtest | =========================================
2026-04-01 14:25:27 | INFO     | realistic_backtest:run_realistic_backtest | 📊 REALISTIC BACKTEST PERFORMANCE (V17 L/S)
2026-04-01 14:25:27 | INFO     | realistic_backtest:run_realistic_backtest | =========================================
2026-04-01 14:25:27 | INFO     | realistic_backtest:run_realistic_backtest | Geometric CAGR                : 136.7721%
2026-04-01 14:25:27 | INFO     | realistic_backtest:run_realistic_backtest | Annualized Volatility         : 34.5203%
2026-04-01 14:25:27 | INFO     | realistic_backtest:run_realistic_backtest | Sharpe Ratio                  : 3.9621
2026-04-01 14:25:27 | INFO     | realistic_backtest:run_realistic_backtest | Sortino Ratio                 : 4.8482
2026-04-01 14:25:27 | INFO     | realistic_backtest:run_realistic_backtest | Calmar Ratio                  : 9.0488
2026-04-01 14:25:27 | INFO     | realistic_backtest:run_realistic_backtest | Max Drawdown                  : -15.1149%
2026-04-01 14:25:27 | INFO     | realistic_backtest:run_realistic_backtest | Win Rate (Per Bar)            : 53.1553%
2026-04-01 14:25:27 | INFO     | realistic_backtest:run_realistic_backtest | Average Turnover (Per Bar)    : 2.3248%
2026-04-01 14:25:27 | INFO     | realistic_backtest:run_realistic_backtest | =========================================
2026-04-01 14:25:27 | INFO     | main:main | Exporting core backtest data to CSV...
2026-04-01 14:25:27 | INFO     | visualization:render_realistic_equity_curve | Rendering Strategy vs Benchmark Equity Curve...
2026-04-01 14:25:29 | INFO     | visualization:render_realistic_equity_curve | Equity curve correctly saved to: /Users/apple/Documents/factor/reports/realistic_equity_curve_1H_with_benchmark.png
2026-04-01 14:25:29 | INFO     | main:main | === Pipeline Execution Finished Successfully! ===
